sequenceID	name	organism	locus_name	sequence_length	locus_numeric_id	locus_structure
JQ700177	MELV	Mustela nivalis	MELV	873	NK	Gag
JQ700147	MELV	Mustela eversmannii	MELV	860	NK	Gag
JQ700150	MELV	Mustela eversmannii	MELV	860	NK	Gag
JQ700153	MELV	Mustela frenata	MELV	837	NK	Gag
JQ700154	MELV	Mustela frenata	MELV	837	NK	Gag
JQ700155	MELV	Mustela frenata	MELV	837	NK	Gag
JQ700156	MELV	Mustela frenata	MELV	837	NK	Gag
JQ700159	MELV	Mustela frenata	MELV	837	NK	Gag
JQ700161	MELV	Mustela frenata	MELV	837	NK	Gag
JQ700176	MELV	Mustela nivalis	MELV	837	NK	Gag
JQ700179	MELV	Mustela nivalis	MELV	837	NK	Gag
JQ700180	MELV	Mustela nivalis	MELV	837	NK	Gag
FJ707359	PSIV1	Microcebus murinus	PSIV1	2165	NK	Pol-Vif-Env
FJ707331	PSIV1	Microcebus myoxinus	PSIV1	256	NK	LTR
FJ707330	PSIV1	Microcebus myoxinus	PSIV1	255	NK	LTR
FJ707334	PSIV1	Microcebus griseorufus	PSIV1	255	NK	LTR
FJ707343	PSIV1	Microcebus sambiranensis	PSIV1	255	NK	LTR
FJ707326	PSIV1	Microcebus tavaratra	PSIV1	253	NK	LTR
FJ707327	PSIV1	Microcebus tavaratra	PSIV1	253	NK	LTR
FJ707333	PSIV1	Microcebus griseorufus	PSIV1	253	NK	LTR
FJ707335	PSIV1	Microcebus griseorufus	PSIV1	253	NK	LTR
FJ707336	PSIV1	Microcebus griseorufus	PSIV1	253	NK	LTR
FJ707337	PSIV1	Microcebus ravelobensis	PSIV1	253	NK	LTR
FJ707339	PSIV1	Microcebus ravelobensis	PSIV1	253	NK	LTR
FJ707340	PSIV1	Microcebus sambiranensis	PSIV1	253	NK	LTR
FJ707341	PSIV1	Microcebus sambiranensis	PSIV1	253	NK	LTR
FJ707344	PSIV1	Microcebus sambiranensis	PSIV1	253	NK	LTR
FJ707329	PSIV1	Microcebus myoxinus	PSIV1	252	NK	LTR
FJ707342	PSIV1	Microcebus sambiranensis	PSIV1	252	NK	LTR
FJ707338	PSIV1	Microcebus ravelobensis	PSIV1	245	NK	LTR
FJ707332	PSIV1	Microcebus myoxinus	PSIV1	235	NK	LTR
FJ707328	PSIV1	Microcebus tavaratra	PSIV1	216	NK	LTR
FJ707352	PSIV2	Cheirogaleus medius	PSIV2	1437	1	Pol-Vif-Env
FJ707353	PSIV2	Cheirogaleus medius	PSIV2	1437	1	Pol-Vif-Env
FJ707350	PSIV2	Cheirogaleus medius	PSIV2	1380	1	Pol-Vif-Env
FJ707347	PSIV2	Cheirogaleus medius	PSIV2	1287	1	Gag-Pol
FJ707346	PSIV2	Cheirogaleus medius	PSIV2	1286	1	Gag-Pol
FJ707349	PSIV2	Cheirogaleus medius	PSIV2	1260	1	Pol
FJ707345	PSIV2	Cheirogaleus medius	PSIV2	1125	1	Gag
FJ707348	PSIV2	Cheirogaleus medius	PSIV2	1068	1	Pol
FJ707356	PSIV2	Cheirogaleus medius	PSIV2	1024	1	Env
FJ707357	PSIV2	Cheirogaleus medius	PSIV2	1024	1	Env
FJ707354	PSIV2	Cheirogaleus medius	PSIV2	730	1	env-rev
FJ707355	PSIV2	Cheirogaleus medius	PSIV2	729	1	env-rev
FJ707351	PSIV2	Cheirogaleus medius	PSIV2	706	1	env-rev
FJ707325	PSIV2	Cheirogaleus medius	PSIV2	241	NK	LTR
FJ707324	PSIV2	Cheirogaleus medius	PSIV2	238	NK	LTR
FJ707322	PSIV2	Cheirogaleus medius	PSIV2	218	NK	LTR
FJ707323	PSIV2	Cheirogaleus medius	PSIV2	218	NK	LTR
FJ493031	RELIK	Lepus europaeus	RELIK	2881	NK	Pol
FJ493032	RELIK	Lepus europaeus	RELIK	2019	72	Gag
FJ493034	RELIK	Lepus europaeus	RELIK	787	NK	Gag
FJ493033	RELIK	Lepus europaeus	RELIK	681	NK	Gag
FJ493030	RELIK	Lepus europaeus	RELIK	397	NK	LTR
JQ700124	MELV	Lontra canadensis	MELV	10000	NK	Gag
JQ700125	MELV	Lontra canadensis	MELV	10000	NK	Gag
JQ700126	MELV	Lontra canadensis	MELV	10000	NK	Gag
JQ700127	MELV	Lontra canadensis	MELV	10000	NK	Gag
JQ700128	MELV	Lontra canadensis	MELV	10000	NK	Gag
JQ700129	MELV	Lontra canadensis	MELV	10000	NK	Gag
JQ700130	MELV	Lontra canadensis	MELV	10000	NK	Gag
JQ700131	MELV	Lontra canadensis	MELV	10000	NK	Gag
JQ700132	MELV	Lontra canadensis	MELV	10000	NK	Gag
JQ700133	MELV	Lontra canadensis	MELV	10000	NK	Gag
